filename,whisper_transcription,transcribe_transcription,label
common_voice_yue_32332239.wav,['所以這個女孩是誰'],所以呢個女仔係邊個?,所以呢个女仔系边个
common_voice_yue_32332477.wav,"['試下跟我們住,你會知道']","試下同我哋住,你會知",试下同我哋住你会知
common_voice_yue_32334292.wav,"['没事,不重要。']","冇事,唔緊要。",冇事唔紧要
common_voice_yue_32336644.wav,['好多人都問我攝親什麼意思只是知道動親'],"好多人都問我攝親咩意思,淨係知道凍親",好多人都问我摄亲咩意思净系知道冻亲
common_voice_yue_32358696.wav,['你覺得我是打出來還是複製過來'],你覺得我係打出嚟定係複製過嚟?,你觉得我系打出嚟定系复制过嚟
common_voice_yue_32406000.wav,"['又不值得,人家好!']",又唔抵得人地好,又唔抵得人哋好
common_voice_yue_32406555.wav,['我用搜尋都找不回'],我用搜尋都搵唔返,我用搜寻都揾唔返
common_voice_yue_32406574.wav,['這個真的不方便'],呢個真係好唔方便。,呢个真系好唔方便
common_voice_yue_32407196.wav,['非常趁車我的拼命大風格卡車你的臉'],飛行新車或者偏遠地方嘅即係呢啲唉,乡村车或者偏远地方嘅客车你哋点叫
common_voice_yue_32517978.wav,['这里的相片是每个人独立上载的'],呢度嘅相片係每個人獨立上載嘅。,呢度嘅相片系每个人独立上载嘅
common_voice_yue_32518118.wav,['所以原來你是有人心的'],所以原來你係有人性架喎,所以原来你系有人性??
common_voice_yue_32545938.wav,['色穿真相好低b'],色川真相好低b,识穿真相好低 b
common_voice_yue_32640600.wav,['現在難了很多'],而家難咗好多喇,而家难咗好多嘞
common_voice_yue_32654779.wav,['特专用同音措置'],特登用同音錯字,特登用同音错字
common_voice_yue_32655033.wav,['還有請大家記住'],仲有唔該大家記住,仲有唔该大家记住
common_voice_yue_32672601.wav,"['牛丸湯两个,外卖,谢谢']","牛丸湯麵兩個,外賣",牛丸汤面两个 外卖 唔该
common_voice_yue_32808057.wav,"['可能我不是很懂表達,不介意']","可能我唔係好識表達,唔好介意。",可能我唔系好识表达唔好介意
common_voice_yue_32915193.wav,['這本東西有點有錯流'],呢?本嘢有啲有錯漏,呢本嘢有啲有错漏
common_voice_yue_32969628.wav,['條直條類哪有一起算的'],調直條裏邊有一起算嘅。,调值调类边有一起算嘅
common_voice_yue_32977410.wav,['這就是什麼樣子?'],咁解散咗咩群。,噉解散咗咩群
common_voice_yue_32977862.wav,['思想我是新派情感是舊派'],"思想我係新派,情感係舊派",思想我系新派情感系旧派
common_voice_yue_32979785.wav,['看不到就錯過了'],睇唔到就錯過啦,睇唔到就错过嘞
common_voice_yue_32980104.wav,['你又没见到'],你有冇見到?,你有冇见到
common_voice_yue_32981788.wav,['搞死的意思'],搞死嘅意思。,搞死嘅意思
common_voice_yue_32986413.wav,['確實是這樣'],確實係咁樣樣。,确实系噉样样
common_voice_yue_32991360.wav,['真不明白你想表達什麼意思'],真唔明你想表達咩意思,真唔明你想表达咩意思
common_voice_yue_32992854.wav,['陰魂為面目'],殷允為面目,音韵为面目
common_voice_yue_32994845.wav,['網上查看電腦版可以過濾新癖字'],網上查看電腦版可以過濾新僻字,网上查看电脑版可以过滤生僻字
common_voice_yue_32994989.wav,['那我有太多話未曾說'],咁我有太多說話未曾講,噉我有太多说话未曾讲
common_voice_yue_32998256.wav,['注音我不打算用啦!內地要求簡體字'],"注音我唔打算用喇,內地要求簡體字",注音我唔打算用喇内地要求简体字
common_voice_yue_33009855.wav,['应该叫拼写串链'],應該叫拼寫全年?,应该叫拼写串连
common_voice_yue_33021398.wav,['昨晚开会的内容却知道没?'],尋晚開會嘅內容佢知道未?,寻晚开会嘅内容佢知道未
common_voice_yue_33021503.wav,['有量大差距'],有略大差距嘅。,有略大差距嘅
common_voice_yue_33048148.wav,['你今次要坐商務嗎'],你今次要坐商務咩?,你今次要坐商务咩
common_voice_yue_33054270.wav,['我不明白這句'],我唔明呢句,我唔明呢句
common_voice_yue_33073265.wav,['其實已經有較長'],其實已經有教程,其实已经有教程
common_voice_yue_33096102.wav,['兩個都是這樣'],兩個都係咁樣,两个都系噉样
common_voice_yue_33099025.wav,['几十年有一个论会没办法'],"幾十年有一個輪迴,冇辦法",几十年又一个轮回冇办法
common_voice_yue_33120759.wav,"['未有更好選擇之前,這個是目前可用的借字。']","未有更好選擇之前,呢個係目前可用嘅借字。",未有更好选择之前呢个系目前可用嘅借字
common_voice_yue_33168390.wav,['現在在常用'],而家喺常用,而家喺常用
common_voice_yue_33171305.wav,['現在的表欄學習'],而家嘅表難學習,而家嘅表难学习
common_voice_yue_33198481.wav,"['好,等个常用错字表谈好我就法。']","好,等個常用錯字表傾掂我就返。",好等个常用错字表倾掂我就发
common_voice_yue_33258769.wav,['生辟字需要反茶'],生僻字需要反查,生僻字需要反查
common_voice_yue_33273113.wav,['那個幫我整影片的朋友都給我看過他'],嗰個幫我整影片嘅朋友都同我提過佢。,嗰个帮我整影片嘅朋友都同我提过佢
common_voice_yue_33273457.wav,['麻雀之類的'],麻雀之類嘅。,麻将之类嘅
common_voice_yue_33283486.wav,['只是北方地區的人不是這麼看得命'],只係北方地區嘅人唔係咁睇得明,只系北方地区嘅人唔系咁睇得明
common_voice_yue_33782106.wav,['拼音靠打詞打句可以降重'],拼音靠打詞打句可以講從,拼音靠打词打句可以降重
common_voice_yue_34113037.wav,['等待下時事'],等待下試試,等待下试试
common_voice_yue_34220470.wav,['顯然不是你想要的東西'],顯然唔係你想要嘅嘢,显然唔系你想要嘅嘢
